FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
347, ,LCHQ_146, ,POINT,UNCLASSIFIED,"ANHEUSER-BUSCH COMPANIES, INCORPORATED",314,577-2000,1 BUSCH PLACE, ,SAINT LOUIS,MO,63118,1849,ST LOUIS CITY,29510,"LOCATED ON THE WEST SIDE OF BUSCH PLACE, .01 MILE SOUTHWEST OF THE INTERSECTION OF PESTALOZZI STREET AND BUSCH PLACE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,115833972,TGS,-90.210999,38.596939,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
348, ,LCHQ_206, ,POINT,UNCLASSIFIED,GENERAL MILLS INCORPORATED,763,764-7600,1 GENERAL MILLS BOULEVARD, ,MINNEAPOLIS,MN,55426,1347,HENNEPIN,27053,ENTITY IS LOCATED ON THE SOUTH SIDE OF BETTY CROCKER DRIVE .3 MILE WEST FROM GENERAL MILLS BOULEVARD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20222589,TGS,-93.397688,44.976249,NAVTEQ,2006Q3,ONENTITY,YES,TGS
349, ,LCHQ_453, ,POINT,UNCLASSIFIED,PEABODY ENERGY CORPORATE  HEADQUARTERS,314,342-3400,701 MARKET STREET, ,SAINT LOUIS,MO,63101,1830,ST LOUIS CITY,29510,"LOCATED ON THE SOUTHWEST SIDE OF MARKET STREET, .03 MILE NORTHWEST OF THE INTERSECTION OF STADIUM PLAZA AND MARKET STREET.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20560621,TGS,-90.192989,38.625637,NAVTEQ,2006Q3,ONENTITY,YES,TGS
350, ,LCHQ_457, ,POINT,UNCLASSIFIED,NASH FINCH COMPANY,952,832-0534,7600 FRANCE AVENUE SOUTH, ,MINNEAPOLIS,MN,55435,5924,HENNEPIN,27053,ENTITY IS LOCATED ON THE SOUTHWEST CORNER OF WEST 76TH STREET AND FRANCE AVENUE SOUTH, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20278714,TGS,-93.330303,44.864372,NAVTEQ,2006Q3,ONENTITY,YES,TGS
351, ,LCHQ_324, ,POINT,UNCLASSIFIED,AMEREN UNION ELECTRIC CORPORATE HEADQUARTERS,314,621-3222,1901 CHOUTEAU AVENUE, ,SAINT LOUIS,MO,63103,3003,ST LOUIS CITY,29510,"LOCATED ON THE NORTH SIDE OF CHOUTEAU AVENUE, .06 MILE WEST OF THE INTERSECTION OF SOUTH 18TH STREET AND CHOUTEAU AVENUE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20561115,TGS,-90.210247,38.620857,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
352, ,LCHQ_470, ,POINT,UNCLASSIFIED,MOSAIC COMPANY,763,577-2700,3033 CAMPUS DRIVE, ,PLYMOUTH,MN,55441,2651,HENNEPIN,27053,ENTITY IS LOCATED ON THE WEST SIDE OF CAMPUS DRIVE BETWEEN XENIUM LANE NORTH AND ANNAPOLIS CIRCLE NORTH, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20218286,TGS,-93.45368,45.014161,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
353, ,LCHQ_152, ,POINT,UNCLASSIFIED,WHIRLPOOL CORPORATION,269,923-5000,2000 NORTH STATE HIGHWAY M-63, ,BENTON HARBOR,MI,49022, ,BERRIEN,26021,ENTRANCE LOCATED .41 MILE NORTHEAST OF BENSON ROAD ON THE EAST SIDE OF NORTH STATE HIGHWAY M-63., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,135468318,TGS,-86.443046,42.14967,NAVTEQ,2006Q3,ONENTITY,YES,TGS
354, ,LCHQ_076, ,POINT,UNCLASSIFIED,BEST BUY COMPANY INCORPORATED,612,291-1000,7601 PENN AVENUE SOUTH, ,RICHFIELD,MN,55423,3645,HENNEPIN,27053,ENTITY IS LOCATED ON THE EAST SIDE OF PENN AVENUE SOUTH BETWEEN WEST 76TH STREET AND WEST 78TH STREET, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,125936879,TGS,-93.305404,44.863995,NAVTEQ,2006Q3,ONENTITY,YES,TGS
355, ,LCHQ_233, ,POINT,UNCLASSIFIED,KELLOGG COMPANY,269,961-2000,1 KELLOGG SQUARE, ,BATTLE CREEK,MI,49017,3534,CALHOUN,26025,"LOCATED ON THE NORTHWEST CORNER OF KELLOGG SQUARE, BETWEEN WEST HAMBLIN AVENUE AND WEST JACKSON STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127327260,TGS,-85.186429,42.320759,NAVTEQ,2006Q3,ONENTITY,YES,TGS
356, ,LCHQ_379, ,POINT,UNCLASSIFIED,CHARLES H. ROBINSON WORLDWIDE INCORPORATED,952,937-8500,8100 MITCHELL ROAD, ,EDEN PRAIRIE,MN,55344,2178,HENNEPIN,27053,ENTITY IS LOCATED ON THE WEST SIDE OF MITCHELL ROAD .09 MILE NORTH FROM SCENIC HEIGHTS ROAD., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20231426,TGS,-93.4623,44.856275,NAVTEQ,2006Q3,ONENTITY,YES,TGS
357, ,LCHQ_054, ,POINT,UNCLASSIFIED,MOTOROLA INCORPORATED- HEADQUARTERS,847,576-5000,1303 EAST ALGONQUIN ROAD, ,SCHAUMBURG,IL,60196,4041,COOK,17031,ENTRANCE TO FACILITY LOCATED ON SOUTHWEST SIDE OF EAST ALGONQUIN ROAD BETWEEN MOTOROLA WEST ENTRANCE AND NORTH MEACHAM ROAD., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20091353,TGS,-88.050079,42.06632,NAVTEQ,2006Q3,ONENTITY,YES,TGS
358, ,LCHQ_029, ,POINT,UNCLASSIFIED,TARGET CORPORATION,612,304-6073,1000 NICOLLET MALL, ,MINNEAPOLIS,MN,55403,2542,HENNEPIN,27053,ENTITY IS LOCATED ON THE WEST SIDE OF NICOLLET MALL BETWEEN 11TH STREET SOUTH AND 10TH STREET SOUTH, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20250672,TGS,-93.275877,44.973678,NAVTEQ,2006Q3,ONENTITY,YES,TGS
359, ,LCHQ_463, ,POINT,UNCLASSIFIED,TENNECO,847,482-5000,500 NORTH FIELD DRIVE, ,LAKE FOREST,IL,60045,2595,LAKE,17097,"LOCATED ON THE WEST SIDE OF N FIELD DR, .62 MILES NORTH OF IL-60.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20130640,TGS,-87.899269,42.248571,NAVTEQ,2006Q3,ONENTITY,YES,TGS
360, ,LCHQ_285, ,POINT,UNCLASSIFIED,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,858,826-6000,10260 CAMPUS POINT DRIVE, ,SAN DIEGO,CA,92121,1522,SAN DIEGO,06073,"ON THE WEST SIDE OF CAMPUS POINT DRIVE, 0.54 MILE NORTHWEST OF GENESEE AVENUE", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28487025,TGS,-117.22289,32.889353,NAVTEQ,2006Q3,ONENTITY,YES,TGS
361, ,LCHQ_247, ,POINT,UNCLASSIFIED,XCEL ENERGY,612,330-5500,414 NICOLLET MALL, ,MINNEAPOLIS,MN,55401,1927,HENNEPIN,27053,ENTITY IS LOCATED ON THE SOUTHWEST CORNER OF 4TH STREET SOUTH AND NICOLLET MALL, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20249070,TGS,-93.27043,44.979601,NAVTEQ,2006Q3,ONENTITY,YES,TGS
362, ,LCHQ_378, ,POINT,UNCLASSIFIED,AUTOZONE INCORPORATED,901,495-6500,123 SOUTH FRONT STREET, ,MEMPHIS,TN,38103,3607,SHELBY,47157,ENTITY IS LOCATED ON THE SOUTHWEST CORNER OF GAYOSO AVENUE AND SOUTH FRONT STREET, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24908414,TGS,-90.055832,35.142263,NAVTEQ,2006Q3,ONENTITY,YES,TGS
363, ,LCHQ_464, ,POINT,UNCLASSIFIED,HILTON HOTELS,310,278-4321,9336 CIVIC CENTER DRIVE, ,BEVERLY HILLS,CA,90210,3604,LOS ANGELES,06037,"SE SIDE OF CIVIC CENTER DR, 0.16MI SW OF N FOOTHILL RD", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23895468,TGS,-118.398113,34.074623,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
364, ,LCHQ_082, ,POINT,UNCLASSIFIED,INTERNATIONAL PAPER GLOBAL HEADQUARTERS,901,419-7000,6400 POPLAR AVENUE, ,MEMPHIS,TN,38119,4844,SHELBY,47157,"NORTH SIDE OF POPLAR AVE, BETWEEN W MASSEY RD AND INTERNATIONAL PL", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24951155,TGS,-89.850358,35.100514,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
