FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
1, ,LCHQ_116, ,POINT,UNCLASSIFIED,NORTHWESTERN MUTUAL FINANCIAL NETWORK,414,271-1444,720 EAST WISCONSIN AVENUE, ,MILWAUKEE,WI,53202,4703,MILWAUKEE,55079,LOCATED ON THE NORTHEAST CORNER OF EAST WISCONSIN AVENUE AND NORHT VAN BUREN STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,33383741,TGS,-87.902162,43.039372,NAVTEQ,2006Q3,ONENTITY,YES,TGS
2, ,LCHQ_409, ,POINT,UNCLASSIFIED,DARDEN RESTAURANTS INCORPORATED,407,245-4000,5900 LAKE ELLENOR DRIVE, ,ORLANDO,FL,32809,4634,ORANGE,12095,"LOCATED ON THE SOUTHWEST SIDE OF LAKE ELLENOR DRIVE, BETWEEN WEST OAK RIDGE ROAD AND SOUTH RIO GRANDE AVENUE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22407158,TGS,-81.404424,28.47029,NAVTEQ,2006Q3,ONENTITY,YES,TGS
3, ,LCHQ_248, ,POINT,UNCLASSIFIED,FIDELITY NATIONAL FINANCIAL INCORPORATED,904,854-8100,601 RIVERSIDE AVENUE, ,JACKSONVILLE,FL,32204,2950,DUVAL,12031,LOCATED AT THE SOUTHEAST CORNER OF RIVERSIDE AVENUE AND ROSSELLE STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23028178,TGS,-81.674335,30.317817,NAVTEQ,2006Q3,ONENTITY,YES,TGS
4, ,LCHQ_441, ,POINT,UNCLASSIFIED,PACIFIC LIFE INSURANCE COMPANY,949,219-3011,700 NEWPORT CENTER DRIVE, ,NEWPORT BEACH,CA,92660,6307,ORANGE,06059,.06 MILES WEST OF SANTA CRUZ DRIVE ON THE NORTHWEST SIDE OF NEWPORT CENTER DRIVE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24585694,TGS,-117.877413,33.619446,NAVTEQ,2006Q3,ONENTITY,YES,TGS
5, ,LCHQ_450, ,POINT,UNCLASSIFIED,LONGS DRUG STORES INCORPORATED,925,937-1170,141 NORTH CIVIC DRIVE, ,WALNUT CREEK,CA,94596,3815,CONTRA COSTA,06013,"W SIDE OF N CIVIC DR, 0.09MI NE OF YGNACIO VALLEY RD", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127812144,TGS,-122.059046,37.907975,NAVTEQ,2006Q3,ONENTITY,YES,TGS
6, ,LCHQ_431, ,POINT,UNCLASSIFIED,ROSS STORES INCORPORATED,925,965-4400,4440 ROSEWOOD DRIVE, ,PLEASANTON,CA,94588,3050,ALAMEDA,06001,"E SIDE OF ROSEWOOD DR, 0.19MI NE OF OWENS DR", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24635819,TGS,-121.8834,37.697702,NAVTEQ,2006Q3,ONENTITY,YES,TGS
7, ,LCHQ_222, ,POINT,UNCLASSIFIED,PROGRESS ENERGY HEADQUARTERS,919,546-6111,410 SOUTH WILMINGTON STREET, ,RALEIGH,NC,27601,1849,WAKE,37183,LOCATED ON THE WEST SIDE OF SOUTH WILMINGTON STREET BETWEEN EAST DAVIE STREET AND EAST CABARRUS STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17112008,TGS,-78.638849,35.774909,NAVTEQ,2006Q3,ONENTITY,YES,TGS
8, ,LCHQ_499, ,POINT,UNCLASSIFIED,MARSHALL AND ILSLEY CORPORATION,414,765-7801,770 NORTH WATER STREET, ,MILWAUKEE,WI,53202,3509,MILWAUKEE,55079,LOCATED ON THE NORTHEAST CORNER OF EAST MASON STREET AND NORTH WATER STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,33434713,TGS,-87.909003,43.040309,NAVTEQ,2006Q3,ONENTITY,YES,TGS
9, ,LCHQ_369, ,POINT,UNCLASSIFIED,FAMILY DOLLAR STORES INCORPORATED,704,847-6961,10401 MONROE ROAD, ,MATTHEWS,NC,28105,5349,MECKLENBURG,37119,LOCATED ON THE EAST SIDE OF THE T INTERSECTION OF MONROE ROAD GANDER COVE LANE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28198084,TGS,-80.734904,35.13178,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
10, ,LCHQ_402, ,POINT,UNCLASSIFIED,GOODRICH CORPORATION,704,423-7000,2730 WEST TYVOLA ROAD, ,CHARLOTTE,NC,28217,4576,MECKLENBURG,37119,LOCATED ON THE NORTHEAST SIDE OF THE T INTERSECTION OF NORTH FALLS DRIVE AND WEST TYVOLA ROAD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28233256,TGS,-80.920335,35.187673,NAVTEQ,2006Q3,ONENTITY,YES,TGS
11, ,LCHQ_117, ,POINT,UNCLASSIFIED,DUKE ENERGY CORPORATION,704,594-6200,526 SOUTH CHURCH STREET, ,CHARLOTTE,NC,28202,1802,MECKLENBURG,37119,LOCATED ON THE NORTH SIDE OF THE INTERSECTION OF SOUTH CHURCH STREET AND WEST STONEWALL STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28228061,TGS,-80.849526,35.225176,NAVTEQ,2006Q3,ONENTITY,YES,TGS
12, ,LCHQ_177, ,POINT,UNCLASSIFIED,NUCOR CORPORATION,704,366-7000,1915 REXFORD ROAD, ,CHARLOTTE,NC,28211,3441,MECKLENBURG,37119,FROM COCA-COLA PLAZA AND REXFORD ROAD .04 MILE AT THE VERY EAST MOST PART OF REXFORD ROAD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28236033,TGS,-80.834881,35.158941,NAVTEQ,2006Q3,ONENTITY,YES,TGS
13, ,LCHQ_276, ,POINT,UNCLASSIFIED,SONIC AUTOMOTIVE INCORPORATED,704,566-2400,6415 IDLEWILD ROAD, ,CHARLOTTE,NC,28212,0531,MECKLENBURG,37119,LOCATED .06 MILE WEST OF THE INTERSECTION OF IDLEWILD ROAD AND ELECTRA LANE ON THE NORTH SIDE OF IDLEWILD ROAD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28233877,TGS,-80.753897,35.183953,NAVTEQ,2006Q3,ONENTITY,YES,TGS
14, ,LCHQ_042, ,POINT,UNCLASSIFIED,LOWE'S COMPANIES INCORPORATED,704,758-1000,1000 LOWE'S BOULEVARD, ,MOORESVILLE,NC,28117, ,IREDELL,37097,"FROM THE INTERSECTION OF FAIRVIEW ROAD, MEDICAL PARK ROAD AND LOWE'S BOULEVARD, TRAVEL SOUTH ON LOWE'S BOULEVARD FOR 0.32 MILES. ENTITY IS LOCATED ON THE SOUTH SIDE OF LOWE'S BOULEVARD.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES, ,TGS,-80.852864,35.542194,NAVTEQ,2006Q3,ONENTITY,YES,TGS
15, ,LCHQ_333, ,POINT,UNCLASSIFIED,VF CORPORATION,336,424-6000,105 CORPORATE CENTER BOULEVARD, ,GREENSBORO,NC,27408,3194,GUILFORD,37081,"LOCATED ON THE SOUTH SIDE OF CORPORATE CENTER BOULEVARD, 0.12 MILES WEST OF THE INTERSECTION OF CORPORATE CENTER BOULEVARD AND NORTH ELM STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17124447,TGS,-79.798538,36.122283,NAVTEQ,2006Q3,ONENTITY,YES,TGS
16, ,LCHQ_280, ,POINT,UNCLASSIFIED,REYNOLDS AMERICAN INCORPORATED,336,741-2000,401 NORTH MAIN STREET, ,WINSTON-SALEM,NC,27101,3804,FORSYTH,37067,LOCATED ON THE EAST SIDE OF OF NORTH MAIN STREET BETWEEN EAST 4TH STREET AND EAST 5TH STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17054279,TGS,-80.243632,36.099303,NAVTEQ,2006Q3,ONENTITY,YES,TGS
17, ,LCHQ_437, ,POINT,UNCLASSIFIED,M.D.C. HOLDINGS INCORPORATED,303,773-1100,4350 SOUTH MONACO STREET, ,DENVER,CO,80237,3400,DENVER,08031,APPROXIMATELY .15 OF A MILE SOUTH OF THE INTERSECTION OF SOUTH MONACO STREET AND HAPPY CANYON ROAD. ON THE NORTHEAST SIDE OF SOUTH MONACO STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-15T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,129592382,TGS,-104.912099,39.636134,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
18, ,LCHQ_266, ,POINT,UNCLASSIFIED,CSX CORPORTATION,904,359-3200,500 WATER STREET, ,JACKSONVILLE,FL,32202,4423,DUVAL,12031,"LOCATED ON THE SOUTH SIDE OF WATER STREET, BETWEEN SOUTH PEARL STREET AND UNITED STATES HIGHWAY 17.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127624049,TGS,-81.664461,30.325772,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
19, ,LCHQ_446, ,POINT,UNCLASSIFIED,SPX CORPORATION,704,752-4400,13515 BALLANTYNE CORPORATE PLACE, ,CHARLOTTE,NC,28277,2706,MECKLENBURG,37119,LOCATED ON THE EAST SIDE OF THE INTERSECTION OF BALLANTYNE CORPORATE PLACE AND BRIXHAM HILL DRIVE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,125481707,TGS,-80.852605,35.060399,NAVTEQ,2006Q3,ONENTITY,YES,TGS
20, ,LCHQ_151, ,POINT,UNCLASSIFIED,"AMERICAN FAMILY LIFE ASSURANCE COMPANY, INCORPORATED",706,323-3431,1932 WYNNTON ROAD, ,COLUMBUS,GA,31999,0001,MUSCOGEE,13215,"LOCATED ON THE SOUTH SIDE OF WYNNTON RD, .07 MI EAST OF THE INTERSECTION OF WYNNTON RD AND JEANETTE AVE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,123754829,TGS,-84.964464,32.467999,NAVTEQ,2006Q3,ONENTITY,YES,TGS
21, ,LCHQ_399, ,POINT,UNCLASSIFIED,AGCO CORPORATION,770,813-9200,4205 RIVER GREEN PARKWAY, ,DULUTH,GA,30096,2563,GWINNETT,13135,"LOCATED ON THE NE SIDE OF RIVER GREEN PKY, .08 MI NW OF PEACHTREE INDUSTRIAL BLVD NW.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22648837,TGS,-84.164587,34.017319,NAVTEQ,2006Q3,ONENTITY,YES,TGS
22, ,LCHQ_120, ,POINT,UNCLASSIFIED,COCA-COLA ENTERPRISES,770,989-3000,2500 WINDY RIDGE PARKWAY, ,ATLANTA,GA,30339,5677,COBB,13067,"LOCATED W SIDE OF WINDY RIDGE PKY SE, APPROX .14 MILE SW OF POWERS FERRY PKY.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22653392,TGS,-84.457631,33.901065,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
23, ,LCHQ_245, ,POINT,UNCLASSIFIED,GENUINE PARTS COMPANY,770,953-1700,2999 CIRCLE 75 PARKWAY SOUTHEAST, ,ATLANTA,GA,30339,3050,COBB,13067,"LOCATED NE SIDE OF CIRCLE 75 PKY SE, .06 MILE SE OF WINDY RIDGE PKY SE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23236810,TGS,-84.465123,33.89286,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
24, ,LCHQ_387, ,POINT,UNCLASSIFIED,BLUELINX INCORPORATED,770,953-7000,4300 WILDWOOD PARKWAY, ,ATLANTA,GA,30339,8440,COBB,13067,"LOCATED S SIDE OF WILDWOOD PKWY, .13 MILE E OF WINDY HILL RD SE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,111688402,TGS,-84.456778,33.913478,NAVTEQ,2006Q3,ONENTITY,YES,TGS
25, ,LCHQ_012, ,POINT,UNCLASSIFIED,BANK OF AMERICA CORPORATION,704,386-5478,101 SOUTH TRYON STREET, ,CHARLOTTE,NC,28255,0001,MECKLENBURG,37119,LOCATED ON THE EAST SIDE OF THE INTERSECTION OF EAST TRADE STREET AND SOUTH TRYON STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28227507,TGS,-80.842217,35.227213,NAVTEQ,2006Q3,ONENTITY,YES,TGS
26, ,LCHQ_298, ,POINT,UNCLASSIFIED,BURLINGTON RESOURCES - DIVISION OF CONOCOPHILLIPS COMPANY,713,624-9000,717 TEXAS AVENUE, ,HOUSTON,TX,77002,2712,HARRIS,48201,"LOCATED ON THE NORTHEAST SIDE OF TEXAS AVENUE, BETWEEN LOUISIANA STREET AND MILAM STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17925192,TGS,-95.364562,29.761526,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
27, ,LCHQ_103, ,POINT,UNCLASSIFIED,HALLIBURTON COMPANY,713,759-2600,1401 MCKINNEY STREET, ,HOUSTON,TX,77010,4034,HARRIS,48201,"LOCATED ON THE NORTH SIDE OF MCKINNEY STREET, BETWEEN LA BRANCH STREET AND AUSTIN STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17927037,TGS,-95.360783,29.754951,NAVTEQ,2006Q3,ONENTITY,YES,TGS
28, ,LCHQ_121, ,POINT,UNCLASSIFIED,LYONDELL CHEMICAL COMPANY,713,652-7200,1221 MCKINNEY STREET, ,HOUSTON,TX,77010,2011,HARRIS,48201,"LOCATED ON THE NORTHEAST SIDE OF MCKINNEY STREET, BETWEEN CAROLINE STREET AND SAN JACINTO STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17927034,TGS,-95.362581,29.75591,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
29, ,LCHQ_243, ,POINT,UNCLASSIFIED,KINDER MORGAN INCORPORATED,713,369-9000,500 DALLAS STREET, ,HOUSTON,TX,77002,4800,HARRIS,48201,"LOCATED ON THE SOUTHWEST SIDE OF DALLAS STREET, BETWEEN BAGBY STREET AND SMITH STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17927310,TGS,-95.370689,29.757464,NAVTEQ,2006Q3,ONENTITY,YES,TGS
30, ,LCHQ_340, ,POINT,UNCLASSIFIED,ESTEE LAUDER COMPANIES INCORPORATED,212,572-4200,767 FIFTH AVENUE, ,NEW YORK,NY,10153,0023,NEW YORK,36061,"LOCATED ON THE SOUTHEAST SIDE OF FIFTH AVENUE, BETWEEN EAST 59TH STREET AND EAST 58TH STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,119967744,TGS,-73.972886,40.76386,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
31, ,LCHQ_306, ,POINT,UNCLASSIFIED,ASSURANT HEADQUARTERS,212,859-7000,1 CHASE MANHATTAN PLAZA, ,NEW YORK,NY,10005,1402,NEW YORK,36061,NE SIDE OF CHASE MANHATTAN PLZ BETWEEN WILLIAM ST AND NASSAU ST, , , ,2006-12-15T00:00:00.000Z,PHONE,2006-12-15T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21638283,TGS,-74.009062,40.707739,NAVTEQ,2006Q3,ONENTITY,YES,TGS
32, ,LCHQ_337, ,POINT,UNCLASSIFIED,DYNEGY INCORPORATED,713,507-6400,1000 LOUISIANA STREET, ,HOUSTON,TX,77002,5005,HARRIS,48201,"LOCATED ON THE NORTHWEST SIDE OF LOUISIANA STREET, BETWEEN MCKINNEY STREET AND LAMAR STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17927336,TGS,-95.368033,29.758368,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
33, ,LCHQ_110, ,POINT,UNCLASSIFIED,BRISTOL-MYERS SQUIBB COMPANY,212,546-4000,345 PARK AVENUE, ,NEW YORK,NY,10154,0004,NEW YORK,36061,"LOCATED ON THE SOUTHEAST SIDE OF PARK AVENUE, BETWEEN EAST 52ND STREET AND EAST 51ST STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,119967741,TGS,-73.972884,40.757908,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
34, ,LCHQ_030, ,POINT,UNCLASSIFIED,MORGAN STANLEY,212,761-4000,1585 BROADWAY, ,NEW YORK,NY,10036,8200,NEW YORK,36061,NW SIDE OF BROADWAY BETWEEN W 48TH ST AND W 47TH ST, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21548719,TGS,-73.985298,40.759874,NAVTEQ,2006Q3,ONENTITY,YES,TGS
35, ,LCHQ_074, ,POINT,UNCLASSIFIED,NEW YORK LIFE INSURANCE COMPANY,212,576-7000,51 MADISON AVENUE, ,NEW YORK,NY,10010,1603,NEW YORK,36061,SE SIDE OF MADISON AVE BETWEEN E 27TH ST AND E 26TH ST, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21627237,TGS,-73.986042,40.742937,NAVTEQ,2006Q3,ONENTITY,YES,TGS
36, ,LCHQ_155, ,POINT,UNCLASSIFIED,EASTMAN KODAK COMPANY,800,698-3324,343 STATE STREET, ,ROCHESTER,NY,14650,0001,MONROE,36055,SW SIDE OF STATE ST BETWEEN FACTORY ST AND MORRIE SILVER WAY, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,33913880,TGS,-77.61928,43.160873,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
37, ,LCHQ_414, ,POINT,UNCLASSIFIED,CABLEVISION SYSTEMS CORPORATION,516,803-2300,1111 STEWART AVENUE, ,BETHPAGE,NY,11714,3533,NASSAU,36059,SW SIDE OF STEWART AVE BETWEEN NOTTINGHAM GATE AND BALSAM PL, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21669605,TGS,-73.494661,40.761601,NAVTEQ,2006Q3,ONENTITY,YES,TGS
38, ,LCHQ_295, ,POINT,UNCLASSIFIED,KEYSPAN CORPORATION,718,403-1000,1 METROTECH CENTER, ,BROOKLYN,NY,11201,3831,KINGS,36047,E SIDE OF JAY ST BETWEEN WILLOUGHBY ST AND MYRTLE AVE, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21609163,TGS,-73.986893,40.692574,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
39, ,LCHQ_028, ,POINT,UNCLASSIFIED,COSTCO WHOLESALE CORPORATION,425,313-8100,999 LAKE DRIVE, ,ISSAQUAH,WA,98027,8990,KING,53033,LOCATED .1 MILE SOUTH OF THE INTERSECTION OF 10TH AVENUE NORTHWEST AND LAKE DRIVE ON THE WEST SIDE OF LAKE DRIVE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21405022,TGS,-122.050691,47.548569,NAVTEQ,2006Q3,ONENTITY,YES,TGS
40, ,LCHQ_440, ,POINT,UNCLASSIFIED,LIZ CLAIBORNE INCORPORATED,212,354-4900,1441 BROADWAY, ,NEW YORK,NY,10018,1805,NEW YORK,36061,"LOCATED ON THE NORTHWEST SIDE OF BROADWAY, BETWEEN WEST 41ST STREET AND WEST 40TH STREET.", , , ,2006-12-15T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21548724,TGS,-73.987115,40.754765,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
41, ,LCHQ_157, ,POINT,UNCLASSIFIED,PACCAR INCORPORATED,425,468-7400,777 106TH AVENUE NORTHEAST, ,BELLEVUE,WA,98004,5027,KING,53033,LOCATED ON THE SOUTHWEST CORNER OF THE INTERSECTION OF NORTHEAST 8TH STREET AND 106TH AVENUE NORTHEAST., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21064804,TGS,-122.199736,47.616962,NAVTEQ,2006Q3,ONENTITY,YES,TGS
42, ,LCHQ_145, ,POINT,UNCLASSIFIED,LOEWS CORPORATION,212,521-2000,667 MADISON AVENUE, ,NEW YORK,NY,10021,8029,NEW YORK,36061,"LOCATED ON THE SOUTHEAST SIDE OF MADISON AVENUE, BETWEEN EAST 61ST STREET AND EAST 60TH STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21547818,TGS,-73.970367,40.764423,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
43, ,LCHQ_356, ,POINT,UNCLASSIFIED,CELANESE CORPORATION,972,443-4000,1601 WEST LYNDON BAINES JOHNSON FREEWAY, ,DALLAS,TX,75234, ,DALLAS,48113,"LOCATED ON N SIDE OF WEST LYNDON B JOHNSON FWY, 0.2 MI SE OF LUNA RD.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17688138,TGS,-96.91969,32.908962,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
